state,bill_id,novelty,novelty_corpus,professionalism,gov_control,direction,mechanism,advocacy_raw,log_advocacy
Kansas,HB 2060,0.825599,0.806775,0.253,Divided,Restrictive,Funding,0.0,0.0
Kansas,HB 2436,0.726766,0.726766,0.253,Divided,Restrictive,Criminal,0.0,0.0
Kansas,HB 2749,0.83353,0.344298,0.253,Divided,Restrictive,Definitional,0.0,0.0
Kentucky,SR 20,0.89192,0.89192,0.198,Divided,Restrictive,Definitional,,
Kentucky,HB 170,0.802641,0.802641,0.198,Divided,Neutral,Funding,,
Louisiana,HR 14,0.791257,0.770581,0.274,Divided,Restrictive,Definitional,202303.08957897825,12.217527238369097
Louisiana,SB 41,0.754635,0.735777,0.274,Divided,Restrictive,Funding,202303.08957897825,12.217527238369097
Louisiana,HB 1,0.673423,0.673423,0.274,Divided,Restrictive,Funding,202303.08957897825,12.217527238369097
Maine,HB 1343,0.956284,0.668131,0.226,Unified Democratic,Protective,Constitutional,0.0,0.0
Maine,HB 616,0.734396,0.734396,0.226,Unified Democratic,Protective,Shield,0.0,0.0
Maine,HB 935,0.792618,0.437008,0.226,Unified Democratic,Protective,Funding,0.0,0.0
Maine,HB 995,0.915721,0.437008,0.226,Unified Democratic,Neutral,Definitional,0.0,0.0
Maine,HB 263,0.864955,0.540724,0.226,Unified Democratic,Protective,Proc_Expansion,0.0,0.0
Maine,HB 1619,0.879672,0.60554,0.226,Unified Democratic,Protective,Shield,0.0,0.0
Maine,HB 2010,0.815004,0.540724,0.226,Unified Democratic,Restrictive,Proc_Ban,0.0,0.0
Maryland,HB 200,0.686543,0.686543,0.421,Unified Democratic,Neutral,Funding,0.0,0.0
Maryland,SB 341,0.831888,0.789843,0.421,Unified Democratic,Protective,Shield,0.0,0.0
Maryland,SB 786,0.67308,0.60166,0.421,Unified Democratic,Protective,Shield,0.0,0.0
Maryland,SB 859,0.640324,0.60166,0.421,Unified Democratic,Protective,Shield,0.0,0.0
Michigan,SB 4,0.896438,0.394004,0.477,Unified Democratic,Protective,Shield,0.0,0.0
Michigan,HB 4006,0.961499,0.320919,0.477,Unified Democratic,Protective,Proc_Expansion,0.0,0.0
Michigan,HB 4032,0.937136,0.35098,0.477,Unified Democratic,Protective,Criminal,0.0,0.0
Michigan,SB 2,0.970993,0.320919,0.477,Unified Democratic,Protective,Shield,0.0,0.0
Michigan,HR 72,0.862999,0.8365,0.477,Unified Democratic,Protective,Definitional,0.0,0.0
Michigan,SB 147,0.939008,0.394004,0.477,Unified Democratic,Protective,Shield,0.0,0.0
Michigan,HR 123,0.727342,0.727342,0.477,Unified Democratic,Protective,Funding,0.0,0.0
Michigan,SB 216,0.839076,0.821293,0.477,Unified Democratic,Neutral,Definitional,0.0,0.0
Michigan,SB 68,0.887493,0.35098,0.477,Unified Democratic,Restrictive,Criminal,0.0,0.0
Michigan,SB 474,0.721511,0.721511,0.477,Unified Democratic,Protective,Proc_Expansion,0.0,0.0
Michigan,SB 476,0.893028,0.696342,0.477,Unified Democratic,Protective,Definitional,0.0,0.0
Michigan,SB 477,0.88007,0.696342,0.477,Unified Democratic,Restrictive,Funding,0.0,0.0
Michigan,HB 4949,0.594234,0.594234,0.477,Unified Democratic,Protective,Constitutional,0.0,0.0
Michigan,HB 4951,0.831375,0.831375,0.477,Unified Democratic,Protective,Definitional,0.0,0.0
Michigan,HB 4953,0.953447,0.675175,0.477,Unified Democratic,Protective,Shield,0.0,0.0
Michigan,HB 4955,0.897777,0.784097,0.477,Unified Democratic,Neutral,Definitional,0.0,0.0
Minnesota,HB 1,0.780292,0.780292,0.452,Unified Democratic,Protective,Constitutional,,
Minnesota,SB 2995,0.748393,0.748393,0.452,Unified Democratic,Protective,Funding,,
Mississippi,SR 539,0.916453,0.817667,0.149,Unified Republican,Restrictive,Constitutional,0.0,0.0
Mississippi,HB 1125,0.810492,0.556296,0.149,Unified Republican,Restrictive,Criminal,0.0,0.0
Mississippi,HB 1149,0.727115,0.672154,0.149,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
Mississippi,HB 1390,0.903966,0.672154,0.149,Unified Republican,Restrictive,Funding,0.0,0.0
Mississippi,HB 1671,0.608736,0.556296,0.149,Unified Republican,Restrictive,Funding,0.0,0.0
Mississippi,SB 2781,0.850983,0.69001,0.149,Unified Republican,Neutral,Funding,0.0,0.0
Missouri,SB 51,0.80244,0.386119,0.286,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
Missouri,HB 11,0.765852,0.764424,0.286,Unified Republican,Neutral,Funding,0.0,0.0
Missouri,HB 1155,0.528693,0.386119,0.286,Unified Republican,Neutral,Definitional,0.0,0.0
Missouri,HB 402,0.583338,0.516351,0.286,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
Missouri,SB 106,0.777613,0.382938,0.286,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
Missouri,SB 157,0.704229,0.382938,0.286,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
Montana,HB 786,0.851929,0.616273,0.231,Unified Republican,Restrictive,Definitional,202303.08957897825,12.217527238369097
Montana,SB 112,0.757615,0.711925,0.231,Unified Republican,Restrictive,Proc_Ban,202303.08957897825,12.217527238369097
Montana,HB 303,0.77564,0.688814,0.231,Unified Republican,Restrictive,Constitutional,202303.08957897825,12.217527238369097
Montana,HB 575,0.800168,0.616273,0.231,Unified Republican,Restrictive,Criminal,202303.08957897825,12.217527238369097
Montana,HB 625,0.75365,0.697085,0.231,Unified Republican,Neutral,Definitional,202303.08957897825,12.217527238369097
Montana,SB 154,0.942499,0.755873,0.231,Unified Republican,Restrictive,Constitutional,202303.08957897825,12.217527238369097
Montana,HB 544,0.851025,0.592655,0.231,Unified Republican,Restrictive,Funding,202303.08957897825,12.217527238369097
Montana,HB 721,0.792178,0.697085,0.231,Unified Republican,Restrictive,Criminal,202303.08957897825,12.217527238369097
Montana,HB 862,0.917873,0.592655,0.231,Unified Republican,Restrictive,Funding,202303.08957897825,12.217527238369097
Montana,HB 937,0.771149,0.688814,0.231,Unified Republican,Restrictive,Definitional,202303.08957897825,12.217527238369097
Nebraska,LB 574,0.829278,0.829278,0.293,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
Nebraska,LB 814,0.673423,0.673423,0.293,Unified Republican,Restrictive,Funding,0.0,0.0
Nevada,SJR 7,0.594234,0.594234,0.291,Divided,Protective,Constitutional,0.0,0.0
Nevada,AB 270,0.743281,0.743281,0.291,Divided,Restrictive,Criminal,0.0,0.0
Nevada,SB 370,0.193251,0.193251,0.291,Divided,Protective,Shield,0.0,0.0
New Jersey,AB 3975,0.707177,0.707177,0.563,Unified Democratic,Protective,Shield,0.0,0.0
New Jersey,SB 3275,0.809346,0.786445,0.563,Unified Democratic,Protective,Funding,0.0,0.0
New Jersey,AB 5096,0.671535,0.671535,0.563,Unified Democratic,Protective,Shield,0.0,0.0
New Mexico,HB 7,0.627262,0.450852,0.288,Unified Democratic,Protective,Shield,,
New Mexico,SB 13,0.548394,0.450852,0.288,Unified Democratic,Protective,Shield,,
New York,SB 1351,0.917055,0.58311,0.747,Unified Democratic,Protective,Shield,0.0,0.0
New York,AB 1395,0.835378,0.818615,0.747,Unified Democratic,Protective,Proc_Expansion,0.0,0.0
New York,SB 4007,0.843693,0.843693,0.747,Unified Democratic,Protective,Funding,0.0,0.0
New York,AB 3003,0.584457,0.584457,0.747,Unified Democratic,Protective,Funding,0.0,0.0
New York,AR 2311,0.846313,0.607655,0.747,Unified Democratic,Neutral,Constitutional,0.0,0.0
New York,AR 671,0.879837,0.607655,0.747,Unified Democratic,Neutral,Constitutional,0.0,0.0
New York,SB 1066,0.658852,0.58311,0.747,Unified Democratic,Protective,Shield,0.0,0.0
North Carolina,SB 20,0.665492,0.560361,0.396,Divided,Restrictive,Proc_Ban,0.0,0.0
North Carolina,HB 190,0.754484,0.560361,0.396,Divided,Restrictive,Proc_Ban,0.0,0.0
North Carolina,HB 259,0.715083,0.700613,0.396,Divided,Restrictive,Funding,0.0,0.0
North Dakota,SB 2225,0.761709,0.761709,0.174,Unified Republican,Restrictive,Definitional,0.0,0.0
North Dakota,HB 1171,0.875289,0.654356,0.174,Unified Republican,Neutral,Criminal,0.0,0.0
North Dakota,SB 2150,0.665492,0.654356,0.174,Unified Republican,Restrictive,Proc_Ban,0.0,0.0
North Dakota,SB 2129,0.861999,0.684547,0.174,Unified Republican,Restrictive,Funding,0.0,0.0
Ohio,HB 33,0.844111,0.844111,0.474,Unified Republican,Restrictive,Funding,0.0,0.0
Ohio,SR 215,0.89442,0.89442,0.474,Unified Republican,Neutral,Constitutional,0.0,0.0
Oklahoma,SB 293,0.775058,0.775058,0.221,Unified Republican,Restrictive,Proc_Ban,,
Oregon,HB 2002,0.761904,0.761904,0.443,Unified Democratic,Protective,Shield,202212.0795472307,12.217077269664532
Pennsylvania,HB 611,0.577315,0.577315,0.577,Divided,Restrictive,Funding,,
Rhode Island,HB 5006,0.807848,0.807848,0.37,Unified Democratic,Protective,Funding,0.0,0.0
South Carolina,SR 1346,0.866337,0.866337,0.294,Unified Republican,Protective,Definitional,0.0,0.0
South Carolina,SB 474,0.594774,0.594774,0.294,Unified Republican,Restrictive,Criminal,0.0,0.0
South Dakota,HB 1220,0.906477,0.906477,0.176,Unified Republican,Neutral,Shield,0.0,0.0
Tennessee,HJR 133,0.865141,0.841292,0.274,Unified Republican,Restrictive,Definitional,202303.08957897825,12.217527238369097
Tennessee,HB 90,0.93664,0.550065,0.274,Unified Republican,Restrictive,Funding,202303.08957897825,12.217527238369097
Tennessee,SB 745,0.824574,0.550065,0.274,Unified Republican,Restrictive,Criminal,202303.08957897825,12.217527238369097
Tennessee,HB 1895,0.866397,0.680063,0.274,Unified Republican,Neutral,Criminal,202303.08957897825,12.217527238369097
Texas,SR 650,0.857442,0.857442,0.215,Unified Republican,Restrictive,Definitional,202303.08957897825,12.217527238369097
Texas,HB 1575,0.850036,0.39187,0.215,Unified Republican,Neutral,Definitional,202303.08957897825,12.217527238369097
Texas,SB 30,0.777572,0.777572,0.215,Unified Republican,Restrictive,Funding,202303.08957897825,12.217527238369097
Texas,HB 1589,0.871347,0.325601,0.215,Unified Republican,Restrictive,Criminal,202303.08957897825,12.217527238369097
Texas,SB 2376,0.87285,0.437345,0.215,Unified Republican,Restrictive,Funding,202303.08957897825,12.217527238369097
Texas,SB 24,0.73848,0.39187,0.215,Unified Republican,Restrictive,Funding,202303.08957897825,12.217527238369097
Texas,SB 840,0.872198,0.325601,0.215,Unified Republican,Neutral,Criminal,202303.08957897825,12.217527238369097
Utah,HB 26,0.749382,0.749382,0.238,Unified Republican,Restrictive,Funding,202303.0895789782,12.217527238369097
Utah,HB 297,0.808371,0.464587,0.238,Unified Republican,Restrictive,Proc_Ban,202303.0895789782,12.217527238369097
Utah,SB 97,0.628044,0.628044,0.238,Unified Republican,Restrictive,Funding,202303.0895789782,12.217527238369097
Utah,HB 467,0.703463,0.464587,0.238,Unified Republican,Restrictive,Proc_Ban,202303.0895789782,12.217527238369097
Utah,SB 133,0.86424,0.78806,0.238,Unified Republican,Neutral,Funding,202303.0895789782,12.217527238369097
Utah,SB 208,0.782674,0.527809,0.238,Unified Republican,Restrictive,Proc_Ban,202303.0895789782,12.217527238369097
Utah,SB 39,0.915579,0.527809,0.238,Unified Republican,Restrictive,Funding,202303.0895789782,12.217527238369097
Vermont,SB 37,0.513287,0.513287,0.301,Divided,Protective,Constitutional,0.0,0.0
